paper_id,paper_source,title,abstract,journal,published,url
pubmed-41761878,PubMed,Myosin IIA motor regulates attaching-effacing bacteria interactions with intestinal epithelium.,"Attaching effacing (A/E) bacteria, such as enteropathogenic Escherichia coli (EPEC) and Citrobacter rodentium colonize intestinal epithelial cells (IECs) by inducing remodeling of the epithelial cytoskeleton and the formation of prominent actin pedestals at bacterial attachment sites. While non-muscle myosin II (NM II) is a key regulator of the actin cytoskeleton, whether it regulates IEC colonization by A/E pathogens is not known. To address this question, we targeted NM IIA and NM IIC, the NM II paralogs expressed in IECs. Our in vivo studies utilized mouse models with either intestinal epithelial-specific deletion of NM IIA (NM IIA cKO mice), expression of a NM IIA motor domain mutant, or total deletion of NM IIC (NM IIC tKO mice). In vitro experiments utilized IECs (HT-29cF8 and Caco-2BBE) with CRISPR-Cas9-mediated deletion of NM IIA or NM IIC. In addition, NM II activity in vitro was modulated pharmacologically, using either the pan-myosin inhibitor, blebbistatin, or a specific NM IIC activator, 4-hydroxyacetophenone (4-HAP). NM IIA cKO and NM IIA mutant mice demonstrated higher C. rodentium colonization, along with more severe mucosal inflammation and colonic crypt hyperplasia as compared to their controls. By contrast, NM IIC tKO mice was indistinguishable from their control with regard to C. rodentium colonization. Blebbistatin treatment increased EPEC attachment to IECs monolayers, whereas 4-HAP did not affect bacterial attachment. Genetic knockout of NM IIA, but not NM IIC, increased EPEC adhesion to IEC monolayers. Importantly, the increase in EPEC attachment exhibited by NM IIA-deficient IECs required an intact bacterial Type 3 secretion system and functional Tir effector, indicating that NM IIA functions in actin pedestal assembly. In summary, we describe a novel role for NM IIA in limiting intestinal epithelial colonization by A/E pathogens via the inhibition of pathogen-induced remodeling of the actin cytoskeleton.",Gut microbes,2026,https://pubmed.ncbi.nlm.nih.gov/41761878/
pubmed-fallback-001,PubMed,High-temperature self-healing ceramic-polymer composites for desert deployment benchmark 1,"This fallback paper discusses Bacillus biomineralization, epoxy self-healing chemistry, perovskite oxide coatings, and thermal expansion simulation at 48 C.",PubMed,2026,https://example.org/pubmed/1
pubmed-fallback-002,PubMed,High-temperature self-healing ceramic-polymer composites for desert deployment benchmark 2,"This fallback paper discusses Bacillus biomineralization, epoxy self-healing chemistry, perovskite oxide coatings, and thermal expansion simulation at 48 C.",PubMed,2026,https://example.org/pubmed/2
pubmed-fallback-003,PubMed,High-temperature self-healing ceramic-polymer composites for desert deployment benchmark 3,"This fallback paper discusses Bacillus biomineralization, epoxy self-healing chemistry, perovskite oxide coatings, and thermal expansion simulation at 48 C.",PubMed,2026,https://example.org/pubmed/3
arxiv-2604.07317v1,arXiv,"Multi-dimensional, time-dependent approximate NLTE unified model atmospheres with winds for hot, massive stars","Multi-dimensional unified model atmospheres with winds of massive stars have so far been studied under the assumption of equal flux, Planck, and energy weighted mean opacities, which effectively means these models have been in local thermodynamic equilibrium (LTE). Although LTE may be a valid approximation in deeper atmospheric layers, it breaks down in the extended outflowing parts. As such, the opacities governing the heating and cooling of the gas are neither the same nor equal to flux-mean opacity in those regions. We present an approximate NLTE procedure that accounts for scattering in the computation of energy and Planck-mean opacity from a multitude of spectral lines in an accelerating medium. The formalism evaluates the opacities using Sobolev escape probabilities and effective thermalization parameters from a line database consisting of ~4 million spectral lines. RHD simulations are calculated as before with a hybrid opacity scheme combining Rosseland means with line opacities in an accelerating medium. Due to their high velocity dispersion, upon interaction, they produce localized shock fronts with the gas temperature exceeding the photon temperature. Due to improved treatment of heating and cooling in outflowing parts, the radiation and gas temperatures in the wind are no longer the same, as was the case in previous multi-dimensional simulations. Instead, gas gets heated at shock fronts, but due to strong radiative cooling remains localized. The net result is a multi-component wind structure not only in density and velocity, but also in temperature. This likely has important consequences for the formation and interpretation of observed O-type star wind spectra.",arXiv,2026-04-08T17:26:53Z,http://arxiv.org/abs/2604.07317v1
arxiv-2604.07292v1,arXiv,Graph Neural ODE Digital Twins for Control-Oriented Reactor Thermal-Hydraulic Forecasting Under Partial Observability,"Real-time supervisory control of advanced reactors requires accurate forecasting of plant-wide thermal-hydraulic states, including locations where physical sensors are unavailable. Meeting this need calls for surrogate models that combine predictive fidelity, millisecond-scale inference, and robustness to partial observability. In this work, we present a physics-informed message-passing Graph Neural Network coupled with a Neural Ordinary Differential Equation (GNN-ODE) to addresses all three requirements simultaneously. We represent the whole system as a directed sensor graph whose edges encode hydraulic connectivity through flow/heat transfer-aware message passing, and we advance the latent dynamics in continuous time via a controlled Neural ODE. A topology-guided missing-node initializer reconstructs uninstrumented states at rollout start; prediction then proceeds fully autoregressively. The GNN-ODE surrogate achieves satisfactory results for the system dynamics prediction. On held-out simulation transients, the surrogate achieves an average MAE of 0.91 K at 60 s and 2.18 K at 300 s for uninstrumented nodes, with $R^2$ up to 0.995 for missing-node state reconstruction. Inference runs at approximately 105 times faster than simulated time on a single GPU, enabling 64-member ensemble rollouts for uncertainty quantification. To assess sim-to-real transfer, we adapt the pretrained surrogate to experimental facility data using layerwise discriminative fine-tuning with only 30 training sequences. The learned flow-dependent heat-transfer scaling recovers a Reynolds-number exponent consistent with established correlations, indicating constitutive learning beyond trajectory fitting. The model tracks a steep power change transient and produces accurate trajectories at uninstrumented locations.",arXiv,2026-04-08T16:58:14Z,http://arxiv.org/abs/2604.07292v1
arxiv-fallback-001,arXiv,High-temperature self-healing ceramic-polymer composites for desert deployment benchmark 1,"This fallback paper discusses Bacillus biomineralization, epoxy self-healing chemistry, perovskite oxide coatings, and thermal expansion simulation at 48 C.",arXiv,2026,https://example.org/arxiv/1
arxiv-fallback-002,arXiv,High-temperature self-healing ceramic-polymer composites for desert deployment benchmark 2,"This fallback paper discusses Bacillus biomineralization, epoxy self-healing chemistry, perovskite oxide coatings, and thermal expansion simulation at 48 C.",arXiv,2026,https://example.org/arxiv/2
crossref-10-22203-ecm-v033a11,Materials Today,A chlorhexidine-releasing epoxy-based coating on titanium implants prevents Staphylococcus aureus experimental biomaterial-associated infection,,Materials Today,2107,https://doi.org/10.22203/ecm.v033a11
crossref-10-22203-ecm-v033a10,Materials Today,Growth plate extracellular matrix-derived scaffolds for large bone defect healing,,Materials Today,2107,https://doi.org/10.22203/ecm.v033a10
